epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.823661,0.3620,0.934963,0.6881,1.000000e-03
2,1.095929,0.6544,0.515048,0.8333,1.000000e-03
3,0.951889,0.7417,0.405945,0.8768,1.000000e-03
4,0.895926,0.7679,0.388748,0.8963,1.000000e-03
5,0.887370,0.7714,0.326595,0.9101,1.000000e-03
6,0.833604,0.7936,0.360191,0.8919,1.000000e-03
7,0.704406,0.8350,0.270745,0.9225,1.000000e-03
8,0.652428,0.8521,0.215365,0.9375,1.000000e-03
9,0.757278,0.8161,0.282329,0.9123,1.000000e-03
10,0.674095,0.8357,0.336285,0.9150,1.000000e-03
11,0.582195,0.8693,0.224554,0.9368,1.000000e-03
12,0.633941,0.8531,0.220135,0.9386,1.000000e-03
13,0.625833,0.8542,0.219566,0.9404,1.000000e-03
14,0.724655,0.8329,0.239946,0.9341,1.000000e-03
15,0.459978,0.9034,0.176385,0.9484,5.000000e-04
16,0.578152,0.8747,0.170440,0.9567,5.000000e-04
17,0.564031,0.8726,0.175478,0.9570,5.000000e-04
18,0.580892,0.8675,0.149592,0.9592,5.000000e-04
19,0.509074,0.8873,0.157516,0.9567,5.000000e-04
20,0.461638,0.9028,0.160140,0.9577,5.000000e-04
21,0.578029,0.8729,0.179850,0.9542,5.000000e-04
22,0.507160,0.8891,0.159367,0.9585,5.000000e-04
23,0.517643,0.8826,0.191291,0.9522,5.000000e-04
24,0.695335,0.8377,0.183269,0.9574,5.000000e-04
25,0.594220,0.8561,0.153178,0.9610,2.500000e-04
26,0.507262,0.8839,0.145593,0.9604,2.500000e-04
27,0.491061,0.8797,0.150547,0.9620,2.500000e-04
28,0.487441,0.8886,0.137643,0.9608,2.500000e-04
29,0.542504,0.8721,0.141389,0.9628,2.500000e-04
30,0.552893,0.8664,0.149305,0.9615,2.500000e-04
31,0.595547,0.8607,0.160785,0.9624,2.500000e-04
32,0.503067,0.8860,0.137640,0.9624,2.500000e-04
33,0.420099,0.9037,0.141981,0.9590,2.500000e-04
34,0.413988,0.9050,0.153869,0.9567,2.500000e-04
35,0.507161,0.8875,0.135027,0.9631,1.250000e-04
36,0.470607,0.8892,0.139693,0.9620,1.250000e-04
37,0.515959,0.8706,0.133400,0.9644,1.250000e-04
38,0.461592,0.8929,0.127379,0.9647,1.250000e-04
39,0.484347,0.8915,0.135188,0.9619,1.250000e-04
40,0.521686,0.8747,0.135290,0.9626,1.250000e-04
41,0.398063,0.9088,0.132623,0.9644,1.250000e-04
42,0.342621,0.9257,0.126513,0.9638,1.250000e-04
43,0.507153,0.8881,0.128321,0.9656,1.250000e-04
44,0.508250,0.8887,0.149280,0.9633,1.250000e-04
45,0.528830,0.8734,0.139383,0.9651,1.250000e-04
46,0.452410,0.8923,0.129095,0.9654,1.250000e-04
47,0.510875,0.8716,0.158676,0.9649,1.250000e-04
48,0.507127,0.8793,0.145850,0.9637,1.250000e-04
49,0.482221,0.8796,0.136446,0.9651,6.250000e-05
50,0.512645,0.8738,0.132846,0.9647,6.250000e-05
51,0.466639,0.8800,0.153537,0.9640,6.250000e-05
52,0.450832,0.8885,0.131402,0.9640,6.250000e-05
53,0.479966,0.8820,0.130420,0.9647,6.250000e-05
54,0.408972,0.9052,0.127250,0.9653,6.250000e-05
55,0.441091,0.8965,0.126983,0.9651,3.125000e-05
56,0.526870,0.8754,0.127185,0.9645,3.125000e-05
57,0.466023,0.8954,0.131194,0.9660,3.125000e-05
58,0.490550,0.8779,0.132210,0.9654,3.125000e-05
59,0.383566,0.9057,0.127553,0.9660,3.125000e-05
60,0.588052,0.8570,0.177462,0.9658,3.125000e-05
61,0.321996,0.9307,0.131124,0.9660,1.562500e-05
62,0.315836,0.9335,0.125770,0.9663,1.562500e-05
63,0.442603,0.8948,0.129105,0.9651,1.562500e-05
64,0.526476,0.8639,0.139332,0.9658,1.562500e-05
65,0.516894,0.8717,0.134472,0.9653,1.562500e-05
66,0.434008,0.9029,0.126735,0.9662,1.562500e-05
67,0.417496,0.8970,0.142820,0.9653,1.562500e-05
68,0.481425,0.8818,0.131885,0.9654,1.562500e-05
69,0.430313,0.9053,0.125502,0.9656,7.812500e-06
70,0.531898,0.8769,0.149338,0.9658,7.812500e-06
71,0.442227,0.8899,0.132492,0.9658,7.812500e-06
72,0.427601,0.9035,0.123860,0.9656,7.812500e-06
73,0.492143,0.8800,0.138212,0.9662,7.812500e-06
74,0.482800,0.8883,0.127948,0.9660,7.812500e-06
75,0.538827,0.8664,0.131610,0.9656,7.812500e-06
76,0.483941,0.8784,0.134604,0.9656,7.812500e-06
77,0.327623,0.9306,0.123487,0.9658,7.812500e-06
78,0.536245,0.8736,0.130262,0.9660,7.812500e-06
79,0.465114,0.8852,0.129829,0.9654,7.812500e-06
80,0.491717,0.8929,0.135291,0.9656,7.812500e-06
81,0.462463,0.8998,0.129550,0.9654,7.812500e-06
82,0.502084,0.8775,0.128931,0.9658,7.812500e-06
83,0.427059,0.9024,0.129681,0.9660,7.812500e-06
84,0.438130,0.8873,0.132421,0.9654,3.906250e-06
85,0.420112,0.9009,0.131148,0.9656,3.906250e-06
86,0.406278,0.9024,0.132607,0.9658,3.906250e-06
87,0.487215,0.8783,0.144368,0.9656,3.906250e-06
88,0.484985,0.8819,0.150051,0.9658,3.906250e-06
89,0.451143,0.8933,0.127549,0.9658,3.906250e-06
90,0.302913,0.9374,0.124079,0.9653,1.953125e-06
91,0.553772,0.8615,0.130223,0.9660,1.953125e-06
92,0.502608,0.8692,0.127861,0.9658,1.953125e-06
93,0.379478,0.9045,0.126896,0.9660,1.953125e-06
94,0.497799,0.8776,0.140849,0.9656,1.953125e-06
95,0.592142,0.8478,0.145513,0.9653,1.953125e-06
96,0.526722,0.8705,0.131143,0.9658,1.000000e-06
97,0.392247,0.9052,0.125495,0.9654,1.000000e-06
